Customer_ID,Total_Sales,Total_Profit,Total_Orders,Total_Quantity,Profit_Margin_%,Customer_Name,Email,Phone,City,State,Region,Segment
C001,25123.5,7232.5,5,13,28.787788325671183,Harsh Edwin,ehora@example.net,9813308715,Imphal,Odisha,North,Corporate
C003,6287.4,2328.4,2,4,37.032795750230626,Daniel Mall,naiksai@example.org,5419540435,Bokaro,Chhattisgarh,West,Consumer
C004,37399.0,9402.0,5,17,25.13970961790422,Teerth Bhatia,zjaggi@example.org,6153707959,Panipat,Assam,North,Corporate
C005,43668.4,17891.4,4,14,40.9710454241511,Ridhi Randhawa,vermamanya@example.com,855621853,Sirsa,Sikkim,East,Consumer
C006,33651.4,12996.4,4,13,38.62068145753222,Bimala Sama,vasayatin@example.net,2569477062,Mysore,Punjab,East,Home Office
C007,24889.45,4775.45,3,8,19.186643336835484,Yatin Tank,dugaljanya@example.net,2181626957,Sirsa,Punjab,West,Corporate
C008,9464.3,2044.3,2,4,21.600118339444016,Karan Bumb,vgour@example.net,5242620339,Varanasi,Karnataka,East,Home Office
C009,78378.1,28061.1,7,24,35.802220263058175,Yashasvi Iyer,amrutasachdev@example.net,3960963841,Mangalore,Karnataka,East,Home Office
C010,52181.7,14543.7,5,19,27.871265213666863,Widisha Banerjee,nandini04@example.org,2372773524,Karaikudi,Kerala,North,Corporate
C011,10179.1,3067.1,3,4,30.131347565108896,Gagan Doshi,ogour@example.org,5646367914,Mirzapur,Chhattisgarh,North,Home Office
C012,41460.95,13871.95,6,22,33.457868186811936,Divya Acharya,hayresanya@example.net,67849775,Faridabad,Tripura,East,Corporate
C013,39495.0,14541.0,4,10,36.81731864793012,Agastya Sahni,vrishtioommen@example.net,7817078429,Chapra,Andhra Pradesh,East,Consumer
C014,30535.7,9100.7,6,15,29.80347593145073,Anthony Pillay,wmajumdar@example.org,911287658782,Nanded,Odisha,East,Consumer
C015,47713.95,18594.95,7,17,38.97172629807425,Gaurangi Natt,qsodhi@example.net,9130498942,Bhiwandi,Mizoram,West,Home Office
