Customer_ID,Total_Sales,Total_Profit,Total_Orders,Total_Quantity,Profit_Margin_%,Customer_Name,Email,Phone,City,State,Region,Segment
C155,130470.2,41665.2,12,35,31.934648678395526,Anthony Nayar,quincypanchal@example.net,5658915262,Rajahmundry,Haryana,East,Consumer
C050,111856.3,39436.3,12,42,35.25621712858373,Rajeshri Ravel,shivansh05@example.com,918951712622,Munger,Gujarat,North,Home Office
C056,109014.2,35930.2,9,36,32.95919247217335,Abha Salvi,utkarshbhalla@example.net,912058849039,Nellore,West Bengal,West,Corporate
C161,94655.0,26924.0,9,30,28.444350536157625,Nitara Munshi,yug31@example.com,911525430823,Bettiah,West Bengal,West,Corporate
C157,94390.8,31025.8,10,33,32.86951694444797,Jagat Sani,farhanvora@example.com,542830866,Ozhukarai,Bihar,North,Corporate
C073,91753.5,27117.5,12,35,29.55473088220068,Jagrati Choudhry,darsh85@example.org,910706712852,Cuttack,Tripura,South,Consumer
C016,89738.5,25439.5,11,35,28.348479192319907,Utkarsh Gole,alexanderbala@example.org,914572230050,Bilaspur,West Bengal,West,Corporate
C096,88622.55,29979.55,8,28,33.82835407015483,David Chahal,kaurlopa@example.org,918532487046,Tinsukia,Chhattisgarh,East,Consumer
C163,86148.0,27812.0,9,26,32.28397641268514,Reva Choudhry,trivedijeet@example.com,918922244386,Dhule,Meghalaya,South,Corporate
C054,84567.3,30466.3,7,25,36.02609992278339,Oni Bumb,lakshmikibe@example.org,7404594989,Siwan,Punjab,West,Corporate
