Customer_ID,Customer_Name,Email,Phone,City,State,Region,Segment
C001,Harsh Edwin,ehora@example.net,09813308715,Imphal,Odisha,North,Corporate
C002,Xalak Sane,tailoraadi@example.net,2058627113,Phusro,Haryana,West,Corporate
C003,Daniel Mall,naiksai@example.org,5419540435,Bokaro,Chhattisgarh,West,Consumer
C004,Teerth Bhatia,zjaggi@example.org,6153707959,Panipat,Assam,North,Corporate
C005,Ridhi Randhawa,vermamanya@example.com,0855621853,Sirsa,Sikkim,East,Consumer
C006,Bimala Sama,vasayatin@example.net,02569477062,Mysore,Punjab,East,Home Office
C007,Yatin Tank,dugaljanya@example.net,2181626957,Sirsa,Punjab,West,Corporate
C008,Karan Bumb,vgour@example.net,05242620339,Varanasi,Karnataka,East,Home Office
C009,Yashasvi Iyer,amrutasachdev@example.net,03960963841,Mangalore,Karnataka,East,Home Office
C010,Widisha Banerjee,nandini04@example.org,02372773524,Karaikudi,Kerala,North,Corporate
C011,Gagan Doshi,ogour@example.org,5646367914,Mirzapur,Chhattisgarh,North,Home Office
C012,Divya Acharya,hayresanya@example.net,00067849775,Faridabad,Tripura,East,Corporate
C013,Agastya Sahni,vrishtioommen@example.net,7817078429,Chapra,Andhra Pradesh,East,Consumer
C014,Anthony Pillay,wmajumdar@example.org,+911287658782,Nanded,Odisha,East,Consumer
C015,Gaurangi Natt,qsodhi@example.net,09130498942,Bhiwandi,Mizoram,West,Home Office
C016,Utkarsh Gole,alexanderbala@example.org,+914572230050,Bilaspur,West Bengal,West,Corporate
C017,Gautam Kala,rajuaarush@example.org,8435375297,Shahjahanpur,Bihar,North,Corporate
C018,Jai Bakshi,ekanta50@example.com,05207297017,Jorhat,Odisha,East,Corporate
C019,Gavin Sibal,upadhritirastogi@example.org,01213596536,Lucknow,Madhya Pradesh,South,Home Office
C020,Pranav Banerjee,fnori@example.org,+910337827524,Nadiad,Meghalaya,West,Consumer
C021,Pahal Mangal,lkaur@example.org,1900554344,Buxar,Karnataka,West,Consumer
C022,Qasim Vora,harishraju@example.net,+916082416894,Alwar,Telangana,North,Consumer
C023,Jalsa Nagi,harrisonsaran@example.com,03178033409,Agra,Odisha,East,Consumer
C024,Zaid Manda,mandaridhi@example.com,5903375982,Chinsurah,Punjab,East,Home Office
C025,Saumya Purohit,warjas42@example.net,5698651600,Patiala,Telangana,West,Home Office
C026,Warda Koshy,bakhshi83@example.org,6636025414,Ongole,West Bengal,East,Consumer
C027,Bhavika Subramanian,dinnetra@example.org,04741696080,Morena,Nagaland,North,Home Office
C028,Upma Kaur,chaitanyaranganathan@example.net,04725513603,Mahbubnagar,Tamil Nadu,North,Corporate
C029,Ishwar Bora,jmagar@example.net,4970043029,Aligarh,Maharashtra,West,Corporate
